List of authors
firstName;lastName;country;birthYear
George;Orwell;United Kingdom;1903
Jane;Austen;United Kingdom;1775
Mark;Twain;United States;1835
Franz;Kafka;Austria-Hungary;1883
J.K.;Rowling;United Kingdom;1965
Leo;Tolstoy;Russia;1828
Fyodor;Dostoevsky;Russia;1821
Mary;Shelley;United Kingdom;1797
Herman;Melville;United States;1819
Ernest;Hemingway;United States;1899
George;Orwell;United Kingdom;1903
Jane;Austen;United Kingdom;1775
Virginia;Woolf;United Kingdom;1882
Oscar;Wilde;Ireland;1854
Charles;Dickens;United Kingdom;1812
Jane;Austen;United Kingdom;1775
Jules;Verne;France;1828
H.G.;Wells;United Kingdom;1866
Stephen;King;United States;1947
Agatha;Christie;United Kingdom;1890
Isaac;Asimov;United States;1920
Arthur;Conan Doyle;United Kingdom;1859
George R.R.;Martin;United States;1948
J.R.R.;Tolkien;United Kingdom;1892
Dan;Brown;United States;1964
Paulo;Coelho;Brazil;1947
Umberto;Eco;Italy;1932
Haruki;Murakami;Japan;1949
Albert;Camus;France;1913
Franz;Kafka;Austria-Hungary;1883
Mary;Shelley;United Kingdom;1797
George R.R.;Martin;United States;1948
Fyodor;Dostoevsky;Russia;1821
