title,genre,author_firstname,author_lastname,stars
The Hobbit,Fantasy,J.R.R.,Tolkien,5 Sterne
The Lord of the Rings,Fantasy,J.R.R.,Tolkien,5 Sterne
Harry Potter and the Philosopher's Stone,Fantasy,J.K.,Rowling,5 Sterne
Harry Potter and the Chamber of Secrets,Fantasy,J.K.,Rowling,4 Sterne
A Game of Thrones,Fantasy,George,R.R. Martin,5 Sterne
The Name of the Wind,Fantasy,Patrick,Rothfuss,5 Sterne
Dune,Science Fiction,Frank,Herbert,5 Sterne
Foundation,Science Fiction,Isaac,Asimov,4 Sterne
Neuromancer,Science Fiction,William,Gibson,4 Sterne
1984,Dystopia,George,Orwell,5 Sterne
Animal Farm,Dystopia,George,Orwell,4 Sterne
The Da Vinci Code,Thriller,Dan,Brown,4 Sterne
Inferno,Thriller,Dan,Brown,3 Sterne
Gone Girl,Thriller,Gillian,Flynn,5 Sterne
Sherlock Holmes: A Study in Scarlet,Crime,Arthur Conan,Doyle,4 Sterne
Murder on the Orient Express,Crime,Agatha,Christie,5 Sterne
Pride and Prejudice,Romance,Jane,Austen,5 Sterne
Me Before You,Romance,Jojo,Moyes,4 Sterne
The Fault in Our Stars,Romance,John,Green,4 Sterne
The Alchemist,Adventure,Paulo,Coelho,5 Sterne
Treasure Island,Adventure,Robert Louis,Stevenson,4 Sterne
The Martian,Science Fiction,Andy,Weir,5 Sterne
Dracula,Horror,Bram,Stoker,4 Sterne
It,Horror,Stephen,King,5 Sterne
The Shining,Horror,Stephen,King,5 Sterne
